,Network,Station,Latitudes,Longitudes,Start Date,End Date,Channels
32,UW,PCFR,46.990547,-122.442787,2000-08-01T00:00:00.000000Z,2024-03-12T21:01:39.562641Z,"['EHZ', 'EHZ', 'ENE', 'ENE', 'ENN', 'ENN', 'ENZ', 'ENZ']"
33,UW,PGO,45.461681,-122.454399,1982-06-27T00:00:00.000000Z,2019-08-24T00:00:00.000000Z,"['EHZ', 'EHZ', 'ENE', 'ENN', 'ENZ', 'HNE', 'HNN', 'HNZ']"
34,UW,QDNP,47.16575,-122.27041,2016-11-29T00:00:00.000000Z,2024-03-12T21:01:39.562641Z,"['HNE', 'HNN', 'HNZ']"
35,UW,QFFG,47.24414,-122.35802,2010-10-15T00:00:00.000000Z,2016-05-19T00:00:00.000000Z,"['HNE', 'HNN', 'HNZ']"
36,UW,QGLD,46.64435,-120.582741,2010-04-01T00:00:00.000000Z,2017-07-04T00:00:00.000000Z,"['HNE', 'HNN', 'HNZ']"
37,UW,QSAL,45.51522,-122.49525,2012-03-09T00:00:00.000000Z,2024-03-12T21:01:39.562641Z,"['HNE', 'HNN', 'HNZ']"
38,UW,QTKM,47.22864,-122.44819,2011-05-14T00:00:00.000000Z,2024-03-12T21:01:39.562641Z,"['HNE', 'HNN', 'HNZ']"
39,UW,RCM,46.83564,-121.73298,1993-09-09T00:00:00.000000Z,2024-03-12T21:01:39.562641Z,"['EH1', 'EH2', 'EHZ']"
40,UW,RCS,46.870831,-121.732307,1989-06-27T00:00:00.000000Z,2024-03-12T21:01:39.562641Z,EHZ
41,UW,RER,46.81858,-121.8425,1989-07-13T00:00:00.000000Z,2024-03-12T21:01:39.562641Z,EHZ
42,UW,RVC,46.94408,-121.97419,1983-01-01T00:00:00.000000Z,2021-01-10T00:00:00.000000Z,EHZ
43,UW,SHW,46.19364,-122.23492,1972-10-01T00:00:00.000000Z,2024-03-12T21:01:39.562641Z,"['EHZ', 'ELZ']"
44,UW,SMNR,47.2046,-122.2315,2001-07-01T00:00:00.000000Z,2018-05-30T00:00:00.000000Z,"['ENE', 'ENN', 'ENZ']"
45,UW,SOS,46.243858,-122.137871,1980-05-16T00:00:00.000000Z,2024-03-12T21:01:39.562641Z,EHZ
46,UW,STAR,46.850849,-121.792953,2008-09-15T00:00:00.000000Z,2024-03-12T21:01:39.562641Z,"['EHE', 'EHN', 'EHZ', 'ELZ', 'EHE', 'EHN', 'EHZ', 'ELZ']"
47,UW,STD,46.23761,-122.223961,1982-05-01T00:00:00.000000Z,2017-09-14T00:00:00.000000Z,EHZ
48,UW,STOR,47.188099,-121.9888,2008-12-03T00:00:00.000000Z,2024-03-12T21:01:39.562641Z,"['ACE', 'ENE', 'ENN', 'ENZ', 'HHE', 'HHN', 'HHZ', 'LCE', 'LCQ', 'LOG', 'LTW', 'OCF', 'VCO', 'VEA', 'VEC', 'VEP', 'VFP', 'VHE', 'VHN', 'VHZ', 'VKI', 'VM0', 'VM1', 'VM2', 'VM3', 'VM4', 'VM5', 'VM6', 'VPB']"
49,UW,TBM,47.169849,-120.599182,1973-01-01T00:00:00.000000Z,2024-03-12T21:01:39.562641Z,EHZ
50,UW,TDH,45.289998,-121.791446,1982-09-01T00:00:00.000000Z,2024-03-12T21:01:39.562641Z,EHZ
51,UW,TDL,46.35067,-122.21704,1983-11-12T00:00:00.000000Z,2024-03-12T21:01:39.562641Z,EHZ
52,UW,TRW,46.292068,-120.543121,1994-10-01T00:00:00.000000Z,2024-03-12T21:01:39.562641Z,EHZ
53,UW,TWW,47.13801,-120.86952,1986-10-24T00:00:00.000000Z,2017-01-13T00:00:00.000000Z,EHZ
54,UW,VBE,45.060169,-121.588013,1979-10-01T00:00:00.000000Z,2024-03-12T21:01:39.562641Z,EHZ
55,UW,VFP,45.317992,-121.466299,1980-10-01T00:00:00.000000Z,2024-03-12T21:01:39.562641Z,EHZ
56,UW,VGB,45.51551,-120.77867,1980-04-01T00:00:00.000000Z,2022-12-13T00:00:00.000000Z,EHZ
57,UW,VLL,45.463169,-121.680351,1980-10-01T00:00:00.000000Z,2024-03-12T21:01:39.562641Z,EHZ
58,UW,VLM,45.538342,-122.040359,1980-06-01T00:00:00.000000Z,2024-03-12T21:01:39.562641Z,EHZ
59,UW,VTH,45.181019,-120.562492,1980-03-01T00:00:00.000000Z,2018-02-01T00:00:00.000000Z,EHZ
60,UW,WPW,46.698639,-121.537338,1980-03-27T00:00:00.000000Z,2017-04-19T00:00:00.000000Z,EHZ
61,UW,YA2,46.52652,-120.531181,1994-07-22T00:00:00.000000Z,2024-03-12T21:01:39.562641Z,EHZ
62,UW,YACT,45.9325,-122.4193,2005-05-10T00:00:00.000000Z,2024-03-12T21:01:39.562641Z,"['ACE', 'ENE', 'ENN', 'ENZ', 'HHE', 'HHN', 'HHZ', 'LCE', 'LCQ', 'LOG', 'LTW', 'OCF', 'VCO', 'VEA', 'VEC', 'VEP', 'VFP', 'VKI', 'VM0', 'VM1', 'VM2', 'VM3', 'VM4', 'VM5', 'VM6', 'VPB']"
63,XU,E050,46.768902,-122.091599,2006-07-20T00:00:00.000000Z,2008-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'LOG', 'VM1', 'VM2', 'VM3']"
64,XU,E060,46.626499,-121.264503,2006-07-23T00:00:00.000000Z,2008-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'LOG', 'VM1', 'VM2', 'VM3']"
65,XU,E070,46.509201,-122.453903,2006-07-24T00:00:00.000000Z,2008-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'LOG', 'VM1', 'VM2', 'VM3']"
66,XU,N085,47.068699,-122.383598,2006-07-20T00:00:00.000000Z,2008-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'LOG', 'VM1', 'VM2', 'VM3']"
67,XU,N090,47.185799,-122.195297,2006-10-04T00:00:00.000000Z,2008-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'LOG', 'VM1', 'VM2', 'VM3']"
68,XU,N110,47.145302,-121.636497,2006-07-25T00:00:00.000000Z,2008-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'LOG', 'VM1', 'VM2', 'VM3']"
69,XU,N120,47.216499,-121.481903,2006-07-28T00:00:00.000000Z,2008-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'LOG', 'VM1', 'VM2', 'VM3']"
70,XU,N130,47.247002,-121.047997,2006-07-25T00:00:00.000000Z,2008-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'LOG', 'VM1', 'VM2', 'VM3']"
71,XU,S065,46.866798,-122.3806,2006-07-21T00:00:00.000000Z,2008-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'LOG', 'VM1', 'VM2', 'VM3']"
72,XU,S070,46.980499,-122.243896,2006-07-26T00:00:00.000000Z,2008-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'LOG', 'VM1', 'VM2', 'VM3']"
73,XU,S080,47.004002,-121.988098,2006-07-25T00:00:00.000000Z,2008-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'LOG', 'VM1', 'VM2', 'VM3']"
74,XU,S090,46.989601,-121.5355,2006-07-27T00:00:00.000000Z,2008-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'LOG', 'VM1', 'VM2', 'VM3']"
75,XU,S100,46.980099,-121.108398,2006-07-22T00:00:00.000000Z,2008-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'LOG', 'VM1', 'VM2', 'VM3']"
76,XD,MA05,46.754669,-122.226189,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
77,XD,MB05,46.620869,-122.281021,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
78,XD,MB07,46.623779,-122.042389,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
79,XD,MC06,46.552021,-122.157204,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
80,XD,MC08,46.553349,-121.963219,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
81,XD,MD05,46.523159,-122.278168,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
82,XD,MD09,46.50288,-121.706711,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
83,XD,MD12,46.47694,-121.220673,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
84,XD,ME04,46.450611,-122.351936,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
85,XD,ME06,46.463291,-122.196968,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
86,XD,ME08,46.461948,-121.865639,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
87,XD,MF05,46.390369,-122.386757,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
